채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
고객센터,챗봇상담,서비스 접근성,텍스트 입력 대안 제공(음성 강제 해제),음성 입력만 강제되는 정책은 다양한 사용 환경에서 접근성을 저해하므로 텍스트 대안을 제공하는 기능이 필요합니다.,20250619,QSN000000000003079,TAR000000007580335,ITM000000000003049,말로 하라는거 너무 열받음.  난 내 통화내용을 주변에 알리고 싶지 않아요. 생각이 없나요?
고객센터,챗봇상담,서비스 접근성,텍스트 입력 대안 제공(음성 강제 해제),음성 입력만 강제되는 정책은 다양한 사용 환경에서 접근성을 저해하므로 텍스트 대안을 제공하는 기능이 필요합니다.,20250802,QSN000000000003079,TAR000000008557711,ITM000000000003049,음성으로 필요한 부분을 말해야해서 여럿이 있는 사무실에서 민망하고 불편
고객센터,챗봇상담,서비스 접근성,텍스트 입력 대안 제공(음성 강제 해제),음성 입력만 강제되는 정책은 다양한 사용 환경에서 접근성을 저해하므로 텍스트 대안을 제공하는 기능이 필요합니다.,20250909,QSN000000000003079,TAR000000009474548,ITM000000000003049,"말로 대답을 하라는데, 주변 환경이 외부였어서 눈치보여서 다른곳으로 피해서 말을 한 후에 서비스를 받아볼 수 있었어서 불편했습니다"
고객센터,챗봇상담,서비스 접근성,텍스트 입력 대안 제공(음성 강제 해제),음성 입력만 강제되는 정책은 다양한 사용 환경에서 접근성을 저해하므로 텍스트 대안을 제공하는 기능이 필요합니다.,20250317,QSN000000000003079,TAR000000005891926,ITM000000000003049,업무중 통화시 음성으로 얘기하는것이 불편할 수 있음
고객센터,챗봇상담,서비스 접근성,텍스트 입력 대안 제공(음성 강제 해제),음성 입력만 강제되는 정책은 다양한 사용 환경에서 접근성을 저해하므로 텍스트 대안을 제공하는 기능이 필요합니다.,20250903,QSN000000000003079,TAR000000009355301,ITM000000000003049,제 목소리가 좀 어눌한 것도 있지만 저음으로 말하니 잘 알아듣지 못했고 그렇다고 대출같은 걸 큰소리로 말하기에는 주변 사람들이 신경쓰이고... 좀 그랬습니다.
고객센터,챗봇상담,답변 정확성,모바일 신분증 재촬영/인식 개선 인증 프로세스,모바일 환경의 신분증 재촬영 및 인식 오류는 인증 실패를 초래하므로 프로세스 개선이 필요합니다.,20250509,QSN000000000003079,TAR000000006750713,ITM000000000003049,모바일할때 면허증 재촬영사진을 왜 이렇게 어렵게 해놨는지? 불끄고 사진찍어도 안되고ㅠㅠ
고객센터,챗봇상담,답변 정확성,모바일 신분증 재촬영/인식 개선 인증 프로세스,모바일 환경의 신분증 재촬영 및 인식 오류는 인증 실패를 초래하므로 프로세스 개선이 필요합니다.,20250721,QSN000000000003079,TAR000000008276937,ITM000000000003049,신분증 등록시 인식 부분 문제 상담받음 상담원친절히 안내해줌
고객센터,챗봇상담,의도파악 정확성,음성 인식 민감도/노이즈 필터 설정,소음 환경과 다양한 발화에서 인식 실패를 줄이기 위해 민감도와 노이즈 필터를 조정하는 기능이 필요합니다.,20250807,QSN000000000003079,TAR000000008690209,ITM000000000003049,외부에서 통화시 다른 주변소음이 조금이라도 들어가면 말을 이해하지 못합니다.
고객센터,챗봇상담,의도파악 정확성,음성 인식 민감도/노이즈 필터 설정,소음 환경과 다양한 발화에서 인식 실패를 줄이기 위해 민감도와 노이즈 필터를 조정하는 기능이 필요합니다.,20250805,QSN000000000003079,TAR000000008622533,ITM000000000003049,"상대방의 발음에 의해서 정확도가 필요하더라구요
(경험상)"
고객센터,챗봇상담,의도파악 정확성,음성 인식 민감도/노이즈 필터 설정,소음 환경과 다양한 발화에서 인식 실패를 줄이기 위해 민감도와 노이즈 필터를 조정하는 기능이 필요합니다.,20250903,QSN000000000003079,TAR000000009355301,ITM000000000003049,제 목소리가 좀 어눌한 것도 있지만 저음으로 말하니 잘 알아듣지 못했고 그렇다고 대출같은 걸 큰소리로 말하기에는 주변 사람들이 신경쓰이고... 좀 그랬습니다.
