채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
상품,저축성,상품조건의 적절성,거래·이체 한도/구좌 제한 조건 안내,한도 및 구좌 제한은 상품 이용 가능 범위를 규정하는 핵심 조건입니다.,20250304,QSN000000000003074,TAR000000005612439,ITM000000000001737,빗썸 거래계좌로 개설을 했으나 한도제한으로 당분간 불편할듯
상품,저축성,상품조건의 적절성,거래·이체 한도/구좌 제한 조건 안내,한도 및 구좌 제한은 상품 이용 가능 범위를 규정하는 핵심 조건입니다.,20250213,QSN000000000003074,TAR000000005291133,ITM000000000001737,넝협 빗썸계좌 있는 지인들에게 편리성을 소개할 것임.
상품,저축성,상품조건의 적절성,거래·이체 한도/구좌 제한 조건 안내,한도 및 구좌 제한은 상품 이용 가능 범위를 규정하는 핵심 조건입니다.,20250404,QSN000000000003080,TAR000000006234242,ITM000000000001353,너무 좋다 그런데 자유계좌 를 5구좌 에서 좀더 늘렸으면 좋겠다
상품,저축성,상품조건의 적절성,거래·이체 한도/구좌 제한 조건 안내,한도 및 구좌 제한은 상품 이용 가능 범위를 규정하는 핵심 조건입니다.,20250627,QSN000000000003080,TAR000000007781801,ITM000000000001353,구좌를 더  늘려주십시오. 풍차돌리기 적금의 최적인 상품인데 구좌가 3개는 너무 합니다.
상품,저축성,부가서비스의 적합성,타은행 이체 수수료 면제 조건,이체 수수료 면제는 추가 혜택으로 고객 비용을 절감하는 부가서비스입니다.,20250220,QSN000000000003080,TAR000000005433920,ITM000000000001358,이체 수수료 면제도 되어서 감사하게 잘사용중입니다
상품,저축성,부가서비스의 적합성,타은행 이체 수수료 면제 조건,이체 수수료 면제는 추가 혜택으로 고객 비용을 절감하는 부가서비스입니다.,20250523,QSN000000000003080,TAR000000007012038,ITM000000000001353,수수료가 많은것은 아니지만 그래도 면제를 시켜준다는것은 소소하지만 좋습니다
상품,저축성,부가서비스의 적합성,타은행 이체 수수료 면제 조건,이체 수수료 면제는 추가 혜택으로 고객 비용을 절감하는 부가서비스입니다.,20251217,QSN000000000003074,TAR000000011505595,ITM000000000001737,거래내역 금액 조건이 맞으면 타은행 수수료가 면제된다고 들었다
상품,저축성,부가서비스의 적합성,환율 우대 및 다통화 단일통장,환율 우대와 다통화 단일통장은 외화 이용 편익을 증대시키는 부가 기능입니다.,20250226,QSN000000000003074,TAR000000005533685,ITM000000000001737,"환율 우대율, 다양한 통화를 한 통장으로 이용 가능"
상품,저축성,부가서비스의 적합성,환율 우대 및 다통화 단일통장,환율 우대와 다통화 단일통장은 외화 이용 편익을 증대시키는 부가 기능입니다.,20260129,QSN000000000003187,TAR000000012467178,ITM000000000001348,다양한 외화를 한통장으로 이용할 수 있어서 매우 편리함
상품,저축성,부가서비스의 적합성,고객행사 쿠폰 지급 및 예금 이벤트,쿠폰 지급과 예금·국민연금 관련 이벤트는 가입 유인을 제공하는 프로모션성 부가서비스입니다.,20250416,QSN000000000003074,TAR000000006405017,ITM000000000001737,고객 행사 기간이라 쿠폰 지급 하고 있다고 미리 설명해 줌
상품,저축성,부가서비스의 적합성,고객행사 쿠폰 지급 및 예금 이벤트,쿠폰 지급과 예금·국민연금 관련 이벤트는 가입 유인을 제공하는 프로모션성 부가서비스입니다.,20251110,QSN000000000003074,TAR000000010671214,ITM000000000001737,국민연금 가입 이벤트를 진행한다는 사실과 주후 진행되는 것을 보면서 지인에게 권할수 있을 것 같습니다
상품,저축성,부가서비스의 적합성,고객행사 쿠폰 지급 및 예금 이벤트,쿠폰 지급과 예금·국민연금 관련 이벤트는 가입 유인을 제공하는 프로모션성 부가서비스입니다.,20260116,QSN000000000003187,TAR000000012158066,ITM000000000001358,국민은행 예금 이벤트행사 있어서 너무좋아요 이번에 예금가입했는데 당첨되면 얼마나 좋을까요~♥
상품,저축성,부가서비스의 적합성,고객행사 쿠폰 지급 및 예금 이벤트,쿠폰 지급과 예금·국민연금 관련 이벤트는 가입 유인을 제공하는 프로모션성 부가서비스입니다.,20260113,QSN000000000003187,TAR000000012033303,ITM000000000001348,가입하고 받은 금융상품 쿠폰이 있어 사용하고 싶은 생각에 바로 금융상품 가입했습니다.
상품,저축성,부가서비스의 적합성,고객행사 쿠폰 지급 및 예금 이벤트,쿠폰 지급과 예금·국민연금 관련 이벤트는 가입 유인을 제공하는 프로모션성 부가서비스입니다.,20260119,QSN000000000003187,TAR000000012193620,ITM000000000001353,금융쿠폰  사용이 어려워서 사용을  못했습니다. 만원이  없어졌어요.ㅠ
상품,저축성,상품정보 이해용이성,OPT 발급 비용 절감 안내,보안매체 및 한도 관련 안내는 비용과 이용 절차 이해를 돕는 정보 제공 요소입니다.,20250701,QSN000000000003074,TAR000000007800240,ITM000000000001737,신규 통장 사용법과 이체한도에 대한 보안매체 안내를 자세하게 받았고 opt발급 비용을 줄일수있었음
상품,저축성,상품 가입 편리성,가입 시 이체일 선택 기능,원하는 이체 날짜 선택은 가입 설정의 편의성을 높이는 기능입니다.,20250401,QSN000000000003080,TAR000000006145693,ITM000000000001353,"가입시 이체 날을 선택하게 해줬으면 한다
가입하는 날이 아니라 내가 원하는 날에"
상품,저축성,예적금상품 다양성,압류방지/안심 통장,압류방지 및 안심 통장은 목적·대상 특화형 상품으로 라인업 다양성을 확대합니다.,20250715,QSN000000000003074,TAR000000008146644,ITM000000000001737,압류방지통장을 지인에게 어떻게 권해요? 그런 일이 생기면 안되지요. 헌데 만들어야 한다면 국민은행.
상품,저축성,예적금상품 다양성,압류방지/안심 통장,압류방지 및 안심 통장은 목적·대상 특화형 상품으로 라인업 다양성을 확대합니다.,20251110,QSN000000000003074,TAR000000010672905,ITM000000000001737,국민을위한 안심통장 이름그대로 안심이되는통장
상품,저축성,예적금상품 다양성,압류방지/안심 통장,압류방지 및 안심 통장은 목적·대상 특화형 상품으로 라인업 다양성을 확대합니다.,20260130,QSN000000000003191,TAR000000012505018,ITM000000000001737,노후의 실수를 줄이는 가장 합리적인 안심통장으로서 노령화시대에 맞는 이라고 봅니다.
상품,저축성,예적금상품 다양성,서민 지키미/국민연금 전용 통장,특정 대상·수급 목적에 맞춘 전용 통장은 상품 다양성을 강화합니다.,20250710,QSN000000000003074,TAR000000008048830,ITM000000000001737,"정부 지원금 안정하게 수수할수있는
서민 지키미 통장이기 때문."
상품,저축성,예적금상품 다양성,서민 지키미/국민연금 전용 통장,특정 대상·수급 목적에 맞춘 전용 통장은 상품 다양성을 강화합니다.,20251229,QSN000000000003074,TAR000000011754156,ITM000000000001737,국민연금 전용통장으로 안전하게 사용할 수 있습니다
상품,저축성,상품정보 이해용이성,외화거래 통장 예금자보호 적용 안내,예금자보호 적용 여부 안내는 외화상품 핵심 제도 이해에 직결됩니다.,20250827,QSN000000000003074,TAR000000009151103,ITM000000000001737,외화거래 통장이 한국의 예금자보호법으로 보호   되니까 좋습니다.
