채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,만보기(걷기 챌린지),"고객이 ‘만보기’, ‘걷기 용도받기’ 등 건강·포인트 연계 활동을 명시적으로 이용합니다.",20250109,QSN000000000003080,TAR000000004706658,ITM000000000003077,예금상풍뿐 아니라 생활에 도움돼는 상식.만보걷기.나무키우기등등 재미도 쏠쏠하고 운세등등 여러가지 컨텐즈가 있어서 좋아요
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,만보기(걷기 챌린지),"고객이 ‘만보기’, ‘걷기 용도받기’ 등 건강·포인트 연계 활동을 명시적으로 이용합니다.",20250610,QSN000000000003080,TAR000000007371659,ITM000000000003077,"최근에 만보기 기능을 사용 시작했는데, 팝업창에서 보여지는 곰돌이 캐릭터도 귀엽고 걸음수 확인도 숫자가 작은 편이 아니라 좋습니다."
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,만보기(걷기 챌린지),"고객이 ‘만보기’, ‘걷기 용도받기’ 등 건강·포인트 연계 활동을 명시적으로 이용합니다.",20250613,QSN000000000003080,TAR000000007470810,ITM000000000003077,만보기 생긴 이후로 매일 이용해요 의무적으로라도 걷게 되는 것 같아요
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,만보기(걷기 챌린지),"고객이 ‘만보기’, ‘걷기 용도받기’ 등 건강·포인트 연계 활동을 명시적으로 이용합니다.",20250616,QSN000000000003080,TAR000000007494902,ITM000000000003077,혜택홈이용 중입니다. 걷기 용도받기 식물키우기
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,만보기(걷기 챌린지),"고객이 ‘만보기’, ‘걷기 용도받기’ 등 건강·포인트 연계 활동을 명시적으로 이용합니다.",20250714,QSN000000000003080,TAR000000008113680,ITM000000000003077,"반보기, 함께 걷기등 가족 지인들과 함께 이용해서 좋음"
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,만보기(걷기 챌린지),"고객이 ‘만보기’, ‘걷기 용도받기’ 등 건강·포인트 연계 활동을 명시적으로 이용합니다.",20250728,QSN000000000003080,TAR000000008431404,ITM000000000003077,건강관리 하기에 좋으며 서로공유가 되니 경쟁이 생겨 열심히 운동 하게됨
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,만보기(걷기 챌린지),"고객이 ‘만보기’, ‘걷기 용도받기’ 등 건강·포인트 연계 활동을 명시적으로 이용합니다.",20250807,QSN000000000003080,TAR000000008693941,ITM000000000003077,건강과 포인트 동시에 만족 잘이용하고 유용합니다
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,만보기(걷기 챌린지),"고객이 ‘만보기’, ‘걷기 용도받기’ 등 건강·포인트 연계 활동을 명시적으로 이용합니다.",20260113,QSN000000000003187,TAR000000012071477,ITM000000000003077,소소한 이벤트가 덕분에 삶의 활력을 얻음. 출첵 만보기 상품가입 이벤트
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,만보기 소셜 공유/함께 걷기,"걷기 콘텐츠의 ‘함께 걷기’, ‘서로공유’ 등 소셜 기능이 별도 니즈로 언급되었습니다.",20250714,QSN000000000003080,TAR000000008113680,ITM000000000003077,"반보기, 함께 걷기등 가족 지인들과 함께 이용해서 좋음"
KB 스타뱅킹,콘텐츠/서비스,생활/제휴 서비스의 유용성,만보기 소셜 공유/함께 걷기,"걷기 콘텐츠의 ‘함께 걷기’, ‘서로공유’ 등 소셜 기능이 별도 니즈로 언급되었습니다.",20250728,QSN000000000003080,TAR000000008431404,ITM000000000003077,건강관리 하기에 좋으며 서로공유가 되니 경쟁이 생겨 열심히 운동 하게됨
KB 스타뱅킹,콘텐츠/서비스,콘텐츠 정보의 고객 지향성,식물/나무 키우기 콘텐츠,"‘나무키우기’, ‘식물키우기’가 앱 내 활동형 콘텐츠로 직접 지칭됩니다.",20250109,QSN000000000003080,TAR000000004706658,ITM000000000003077,예금상풍뿐 아니라 생활에 도움돼는 상식.만보걷기.나무키우기등등 재미도 쏠쏠하고 운세등등 여러가지 컨텐즈가 있어서 좋아요
