채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 다양성,AI 상담 홈 위젯/배너 진입,홈에서 ‘AI 상담’ 기능을 직접 언급하며 접근 경험이 보고되어 홈 콘텐츠 유형 확장의 요소입니다.,20250326,QSN000000000003080,TAR000000006063716,ITM000000000001326,전문 금융 용어를  AI가(도돌이표) 아닌 사람과 직접 질의응답이 아닐때...
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 연결성 ,일대일동영상대출 홈 배너 연결,특정 대출 서비스로 홈 배너를 통해 정확히 연결되는 경험이 핵심입니다.,20250221,QSN000000000003080,TAR000000005458720,ITM000000000001326,일대일동영상대출은처음인데너무좋은것같습니다.강추합니다.
KB 스타뱅킹,홈화면,홈화면을 통한 메뉴 진입 신속성,입출금액수 조정 빠른 진입,해당 기능을 홈에서 신속히 접근·처리하려는 요구가 반복되었습니다.,20250312,QSN000000000003080,TAR000000005815826,ITM000000000001326,다른은행모바일보다  입출금액수조정이가능해서
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 고객 지향성,계좌 별명 설정 노출/편집,개인화와 가독성 향상을 위한 계좌 별명 설정이 직접 언급되었습니다.,20250206,QSN000000000003080,TAR000000005165813,ITM000000000001326,계좌설정 시 별명 작성 불가 및 이체 별명도 작성 불가
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 시인성,아이콘 기반 핵심 기능 강조 진입,아이콘의 시각적 강조와 버튼의 크기·가시성이 진입 용이성에 직결됩니다.,20250709,QSN000000000003080,TAR000000008040704,ITM000000000001326,단조로운화면에 확드러나는 아이콘들 사용하기 간편하게 되어있네요
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 시인성,아이콘 기반 핵심 기능 강조 진입,아이콘의 시각적 강조와 버튼의 크기·가시성이 진입 용이성에 직결됩니다.,20251013,QSN000000000003080,TAR000000009901741,ITM000000000001326,"은행앱에 통장 잔고 확인이나 이체 같은 기본적인 이유로 로그인하는데 부잡스럽다. 전체 계좌 확인 버튼도 작아서 또 눌러서 이동해야하는 번거로움 있다.
리뉴얼 전 이전 화면이 백만배 낫다."
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 시인성,아이콘 기반 핵심 기능 강조 진입,아이콘의 시각적 강조와 버튼의 크기·가시성이 진입 용이성에 직결됩니다.,20251120,QSN000000000003080,TAR000000010900807,ITM000000000001326,"메인화면 구식 00년대 같은 느낌
전체적인 계좌확인하려면 찾아 들어가야함
컨텐츠가 복잡하고 느림
토스나 k뱅은 광고봐도 복잡하다고 느껴지지않을 정도로 쾌적함
요즘 다른은행도 쾌적하게 만들려고 노력하는거같은데 kb는 그런게 없음.. 분발하셔야할듯."
KB 스타뱅킹,홈화면,홈화면의 심미성,홈화면 톤앤매너/친근한 이미지,브랜드 톤앤매너에 부합하는 친근한 이미지가 심미성에 영향을 줍니다.,20250317,QSN000000000003080,TAR000000005873011,ITM000000000001326,홈화면 깔끔하고 다가가기 편하고 친근한 이미지가 좋아보임
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 다양성,다중 계좌 동시 보기 홈 위젯,여러 계좌를 동시에 보여주는 새로운 홈 콘텐츠 유형 요구가 확인되었습니다.,20251128,QSN000000000003080,TAR000000011091875,ITM000000000001326,"뭔가 조잡한 느낌, 직관적이지 않은 듯한 느낌, 보고 싶은 여러 계좌를 동시에 보는 기능을 모르겠음"
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 연결성 ,통합메뉴/대기표 발급 등 홈 배너 정확 연결,"홈 배너/위젯 클릭 시 통합메뉴, 대기표 모바일 발급 등으로 정확히 연결되는 경험이 중요합니다.",20250818,QSN000000000003080,TAR000000008911310,ITM000000000001326,"아까 적은 통합메뉴 내용 및 컨텐츠때문이죠
korea bank kb국민은행"
KB 스타뱅킹,홈화면,홈화면 콘텐츠의 연결성 ,통합메뉴/대기표 발급 등 홈 배너 정확 연결,"홈 배너/위젯 클릭 시 통합메뉴, 대기표 모바일 발급 등으로 정확히 연결되는 경험이 중요합니다.",20260209,QSN000000000003187,TAR000000012727679,ITM000000000001326,은행창구 방문전 대기표 모바일 발급이 가능하여 편리하며 용이함
KB 스타뱅킹,홈화면,홈화면을 통한 메뉴 진입 신속성,업데이트 변경 안내 모듈 및 원하는 메뉴 바로가기,레이아웃 변경 안내와 원하는 메뉴 바로가기는 탐색 시간을 줄여 진입을 신속하게 합니다. 상단 광고 배너는 불필요 노출로 진입을 방해해 신속성에 영향을 줍니다.,20260220,QSN000000000003187,TAR000000012951311,ITM000000000001326,"업데이트 이후에 너무너무 불편합니다
그래서 그이후엔 잘 안들어가요 눈에 잘 안들어오고 메뉴가 어디있는지 모르겠어요 조잡해요;;;
되돌려주세요"
