채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,계좌번호 기반 수취은행 자동 인식·추천,계좌번호 붙여넣기 시 수취은행을 자동 인식·추천하여 선택 과정을 단축하는 구체 기능입니다.,20250416,QSN000000000003080,TAR000000006419898,ITM000000000001331,계좌번호 복사하면 자동으로 은행을 찾아줘서 편합니다
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,계좌번호 기반 수취은행 자동 인식·추천,계좌번호 붙여넣기 시 수취은행을 자동 인식·추천하여 선택 과정을 단축하는 구체 기능입니다.,20250214,QSN000000000003080,TAR000000005326071,ITM000000000001331,계좌번호만 입력해도 은행이 자동으로 확인되는점이 편하다
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,계좌번호 기반 수취은행 자동 인식·추천,계좌번호 붙여넣기 시 수취은행을 자동 인식·추천하여 선택 과정을 단축하는 구체 기능입니다.,20250728,QSN000000000003080,TAR000000008420813,ITM000000000001331,계좌정보로 은행을 추천해줘서 빠르게 진행이 가능함
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,이체 입력란 복사·붙여넣기 즉시 입력 지원,"로그인 직후 복사한 정보를 이체 입력란에 바로 붙여넣고, 이름·사유 등 필드의 복사·붙여넣기를 지원하는 입력 편의 기능입니다.",20250407,QSN000000000003080,TAR000000006248713,ITM000000000001331,문자에서 복사 기능 사용하면 로그인후 즉시 붙여넣기 되어 편리함
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,이체 입력란 복사·붙여넣기 즉시 입력 지원,"로그인 직후 복사한 정보를 이체 입력란에 바로 붙여넣고, 이름·사유 등 필드의 복사·붙여넣기를 지원하는 입력 편의 기능입니다.",20250415,QSN000000000003080,TAR000000006400089,ITM000000000001331,복사 붙여넣기가 잘 되지 않았던거 같은데 요즘엔 잘 사용하지 않아서 정확하겐 모르겠습니다
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,이체 입력란 복사·붙여넣기 즉시 입력 지원,"로그인 직후 복사한 정보를 이체 입력란에 바로 붙여넣고, 이름·사유 등 필드의 복사·붙여넣기를 지원하는 입력 편의 기능입니다.",20250507,QSN000000000003080,TAR000000006702396,ITM000000000001331,이체 후에도 따로 메모를 달 수 있는 것도 편하고 뭐 이체할 때 이름이나 사유를 카피&amp;페이스트에서 쓸 수 있어서 좋습니다.
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 화면의 프로세스 적정성,이체 입력란 복사·붙여넣기 즉시 입력 지원,"로그인 직후 복사한 정보를 이체 입력란에 바로 붙여넣고, 이름·사유 등 필드의 복사·붙여넣기를 지원하는 입력 편의 기능입니다.",20250728,QSN000000000003080,TAR000000008431600,ITM000000000001331,"복사하고 붙여넣기가 안되는 곳도 있는데, 굉장히 편리합니다. 특히나 여러화면을 동시에 띄울 수 없는 휴대폰은 더 그러하죠"
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 다양성,타행·증권 계좌 통합 연동 및 조회(오픈뱅킹),"오픈뱅킹을 통한 타은행·증권 계좌의 연동, 조회, 통합 관리 기능은 거래 채널과 대상 계좌의 선택 폭을 넓혀 줍니다.",20250716,QSN000000000003080,TAR000000008193296,ITM000000000001331,타은행통장도 모으기하여 사용할수 있어서 너무 편리함
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 다양성,타행·증권 계좌 통합 연동 및 조회(오픈뱅킹),"오픈뱅킹을 통한 타은행·증권 계좌의 연동, 조회, 통합 관리 기능은 거래 채널과 대상 계좌의 선택 폭을 넓혀 줍니다.",20250716,QSN000000000003080,TAR000000008198160,ITM000000000001331,이체경험이 없음. 타은행에서 오픈뱅킹으로만 사용
KB 스타뱅킹,계좌조회/이체,계좌조회/이체 거래의 다양성,타행·증권 계좌 통합 연동 및 조회(오픈뱅킹),"오픈뱅킹을 통한 타은행·증권 계좌의 연동, 조회, 통합 관리 기능은 거래 채널과 대상 계좌의 선택 폭을 넓혀 줍니다.",20250701,QSN000000000003080,TAR000000007819254,ITM000000000001331,메인 거래은행 계좌로 타 금융기관의 내 계좌와 연결하여 이용중이다
