채널,고객경험단계,서비스품질요소,고객경험요소,근거,설문응답종료년월일,설문ID,설문참여대상자고유ID,문항ID,VOC원문
고객센터,대기,대기상황 안내 정확성,상담원 직접 연결 옵션(중간 단계 축소),상담원 연결 전 불필요 단계와 AI 우선 안내로 인한 불편을 줄이고 즉시 상담원으로 전환하는 명확한 연결 옵션이 요구됩니다.,20250612,QSN000000000003079,TAR000000007431220,ITM000000000003047,상담사와 전화연결 하기 위해 거쳐야하는 단계가 많아서 힘들다
고객센터,대기,대기상황 안내 정확성,상담원 직접 연결 옵션(중간 단계 축소),상담원 연결 전 불필요 단계와 AI 우선 안내로 인한 불편을 줄이고 즉시 상담원으로 전환하는 명확한 연결 옵션이 요구됩니다.,20250813,QSN000000000003079,TAR000000008830787,ITM000000000003047,"담당자통화 어려움.무조건 콜센터부터 연결.본인인증 하는경로 계좌번호입력등 짜증
ㅠㅠ
완전짜증남."
고객센터,대기,대기상황 안내 정확성,상담원 직접 연결 옵션(중간 단계 축소),상담원 연결 전 불필요 단계와 AI 우선 안내로 인한 불편을 줄이고 즉시 상담원으로 전환하는 명확한 연결 옵션이 요구됩니다.,20251110,QSN000000000003079,TAR000000010683504,ITM000000000003047,"같은 내용을 반복해서 설명해야, 해당 지점으로 연결이 되는 구조에 대해서는 반드시 개정이 되어야 할 것 같습니다."
고객센터,대기,대기상황 안내 정확성,상담원 직접 연결 옵션(중간 단계 축소),상담원 연결 전 불필요 단계와 AI 우선 안내로 인한 불편을 줄이고 즉시 상담원으로 전환하는 명확한 연결 옵션이 요구됩니다.,20251112,QSN000000000003079,TAR000000010735732,ITM000000000003047,엉망진장 메뉴번호 불필요한 작업멘트 감정소모 전화돌리기
고객센터,대기,대기상황 안내 정확성,상담원 직접 연결 옵션(중간 단계 축소),상담원 연결 전 불필요 단계와 AI 우선 안내로 인한 불편을 줄이고 즉시 상담원으로 전환하는 명확한 연결 옵션이 요구됩니다.,20250218,QSN000000000003079,TAR000000005375112,ITM000000000003047,제발 AI는 패스해 주세요. 넘 짜증납니다. 국민은행이 아니라 AI은행 같아요. 국민을 위한 은행이면 좋겠어요.
고객센터,대기,대기상황 안내 정확성,상담원 직접 연결 옵션(중간 단계 축소),상담원 연결 전 불필요 단계와 AI 우선 안내로 인한 불편을 줄이고 즉시 상담원으로 전환하는 명확한 연결 옵션이 요구됩니다.,20250218,QSN000000000003079,TAR000000005378921,ITM000000000003047,저작 필요한 상담원과는 통화를할수없음 AI는 아무데도 못씀
고객센터,대기,대기상황 안내 정확성,상담원 직접 연결 옵션(중간 단계 축소),상담원 연결 전 불필요 단계와 AI 우선 안내로 인한 불편을 줄이고 즉시 상담원으로 전환하는 명확한 연결 옵션이 요구됩니다.,20250424,QSN000000000003079,TAR000000006553771,ITM000000000003047,Ai 다음 또 Ai 또 Ai 진짜 싫어요 잘 알아듣지도 못해요
고객센터,대기,대기상황 안내 정확성,상담원 직접 연결 옵션(중간 단계 축소),상담원 연결 전 불필요 단계와 AI 우선 안내로 인한 불편을 줄이고 즉시 상담원으로 전환하는 명확한 연결 옵션이 요구됩니다.,20250502,QSN000000000003079,TAR000000006657210,ITM000000000003047,AI상담은 구체적인 상담을 말하면 이해를 못하고 정확한 안내를 못함
고객센터,대기,대기상황 안내 정확성,상담원 직접 연결 옵션(중간 단계 축소),상담원 연결 전 불필요 단계와 AI 우선 안내로 인한 불편을 줄이고 즉시 상담원으로 전환하는 명확한 연결 옵션이 요구됩니다.,20250312,QSN000000000003079,TAR000000005807086,ITM000000000003047,상담원 연결도 안되고  첫봇상담도 정확하지않고 불편
고객센터,대기,대기상황 안내 정확성,상담원 직접 연결 옵션(중간 단계 축소),상담원 연결 전 불필요 단계와 AI 우선 안내로 인한 불편을 줄이고 즉시 상담원으로 전환하는 명확한 연결 옵션이 요구됩니다.,20251205,QSN000000000003079,TAR000000011272816,ITM000000000003047,Ai가 좀 어색하고 궁금한 항목을 먈하니 빠르게 상담원 연결로 전환된 듯
